experiment,city,source_city,target_city,model,model_type,seed,split_type,feature_set,target_scaling,rmse,mae,nrmse,r2,notes
same_city,Davis,Davis,,mean_baseline,classical,2026,chronological_80_20,primary,none,71.84187070062322,60.7181902213153,0.2842014783338538,-0.0584463956251095,
same_city,Davis,Davis,,linear_regression,classical,2026,chronological_80_20,primary,none,16.927720346770904,10.014675011380657,0.0669648924848029,0.9412361076102193,
same_city,Davis,Davis,,ridge,classical,2026,chronological_80_20,primary,none,16.924545042391085,10.011142851902395,0.0669523311999963,0.9412581514224352,
same_city,Davis,Davis,,decision_tree,classical,2026,chronological_80_20,primary,none,21.368154078376328,11.356890176238856,0.084530941623816,0.90636297294137,
same_city,Davis,Davis,,random_forest,classical,2026,chronological_80_20,primary,none,15.629876230365833,8.122381228281153,0.0618307108031166,0.9499015047918165,
same_city,Davis,Davis,,gradient_boosting,classical,2026,chronological_80_20,primary,none,15.165993300373218,8.310681210373392,0.0599956219727168,0.9528311462042868,
same_city,Davis,Davis,,mlp,neural_network,2026,chronological_80_20,primary,none,16.1005706471701,9.274664369013196,0.0636927454048701,0.9468386328537916,
same_city,Amherst,Amherst,,mean_baseline,classical,42,chronological_80_20,primary,none,38.71204822461048,34.66937900051931,0.3043400017658056,-0.0087992053701413,
same_city,Amherst,Amherst,,linear_regression,classical,42,chronological_80_20,primary,none,21.35928424374517,15.066827183732295,0.1679189012873048,0.6928957534671367,
same_city,Amherst,Amherst,,ridge,classical,42,chronological_80_20,primary,none,21.35882274585011,15.066799886880888,0.1679152731591989,0.6929090241770168,
same_city,Amherst,Amherst,,decision_tree,classical,42,chronological_80_20,primary,none,28.4234584968623,19.216293239319786,0.2234548623967162,0.4561661041248486,
same_city,Amherst,Amherst,,random_forest,classical,42,chronological_80_20,primary,none,20.466230892733247,13.872350564081296,0.1608980416095381,0.7180395662449872,
same_city,Amherst,Amherst,,gradient_boosting,classical,42,chronological_80_20,primary,none,20.40331613371941,13.71526751933674,0.1604034287242092,0.7197704376092369,
same_city,Amherst,Amherst,,mlp,neural_network,42,chronological_80_20,primary,none,20.66252918431487,14.583276233806,0.1624412671722867,0.7126048788547106,
same_city,Amherst,Amherst,,mean_baseline,classical,123,chronological_80_20,primary,none,38.71204822461048,34.66937900051931,0.3043400017658056,-0.0087992053701413,
same_city,Amherst,Amherst,,linear_regression,classical,123,chronological_80_20,primary,none,21.35928424374517,15.066827183732295,0.1679189012873048,0.6928957534671367,
same_city,Amherst,Amherst,,ridge,classical,123,chronological_80_20,primary,none,21.35882274585011,15.066799886880888,0.1679152731591989,0.6929090241770168,
same_city,Amherst,Amherst,,decision_tree,classical,123,chronological_80_20,primary,none,28.369448802183182,19.21373786810452,0.2230302578787986,0.4582309053763067,
same_city,Amherst,Amherst,,random_forest,classical,123,chronological_80_20,primary,none,20.5419138081948,13.85199909166321,0.1614930330832924,0.7159503643736598,
same_city,Amherst,Amherst,,gradient_boosting,classical,123,chronological_80_20,primary,none,20.52659133458928,13.80927159195793,0.1613725733851358,0.7163739587720469,
same_city,Amherst,Amherst,,mlp,neural_network,123,chronological_80_20,primary,none,20.56220482018032,14.578349572047609,0.1616525536177697,0.7153889267935926,
same_city,Amherst,Amherst,,mean_baseline,classical,2026,chronological_80_20,primary,none,38.71204822461048,34.66937900051931,0.3043400017658056,-0.0087992053701413,
same_city,Amherst,Amherst,,linear_regression,classical,2026,chronological_80_20,primary,none,21.35928424374517,15.066827183732295,0.1679189012873048,0.6928957534671367,
same_city,Amherst,Amherst,,ridge,classical,2026,chronological_80_20,primary,none,21.35882274585011,15.066799886880888,0.1679152731591989,0.6929090241770168,
same_city,Amherst,Amherst,,decision_tree,classical,2026,chronological_80_20,primary,none,27.79078117253262,18.94840854417254,0.218480984060791,0.4801070354829738,
same_city,Amherst,Amherst,,random_forest,classical,2026,chronological_80_20,primary,none,20.568311625900087,13.939423247615098,0.1617005630966987,0.7152198473937514,
same_city,Amherst,Amherst,,gradient_boosting,classical,2026,chronological_80_20,primary,none,20.532196599369712,13.815583788962511,0.1614166399321518,0.7162190362035933,
