task,city,model,seed,ablation_group,balanced_accuracy,accuracy,macro_precision,macro_recall,macro_f1,notes
sky_condition,Davis,mlp_tuned,42,full,0.7654450628534125,0.8523740410532863,0.7266469505446658,0.7654450628534125,0.7433552730101584,"{""hidden_size"": 32, ""dropout"": 0.2, ""lr"": 0.001}"
sky_condition,Davis,random_forest_tuned,123,full,0.7402091333699818,0.852166701223305,0.726209004694026,0.7402091333699818,0.7320104747545364,"{""n_estimators"": 100, ""max_depth"": null, ""min_samples_leaf"": 1}"
sky_condition,Davis,gradient_boosting_tuned,123,full,0.7539749487878598,0.8558988181629691,0.7331410529181918,0.7539749487878598,0.7427104365659375,"{""n_estimators"": 100, ""learning_rate"": 0.1, ""max_depth"": 5}"
sky_condition,Davis,mlp_tuned,123,full,0.7496932138165117,0.8498859630935103,0.7228078957033485,0.7496932138165117,0.7336806111376152,"{""hidden_size"": 32, ""dropout"": 0.2, ""lr"": 0.001}"
sky_condition,Davis,random_forest_tuned,2026,full,0.7339208052204605,0.8513373419033796,0.7239970607858792,0.7339208052204605,0.7279572991589968,"{""n_estimators"": 100, ""max_depth"": null, ""min_samples_leaf"": 1}"
sky_condition,Davis,gradient_boosting_tuned,2026,full,0.7534794335146991,0.8554841385030064,0.7320816994407601,0.7534794335146991,0.7419417949674875,"{""n_estimators"": 100, ""learning_rate"": 0.1, ""max_depth"": 5}"
sky_condition,Davis,mlp_tuned,2026,full,0.7505757093404174,0.8558988181629691,0.7302198330284041,0.7505757093404174,0.7394648512456462,"{""hidden_size"": 32, ""dropout"": 0.2, ""lr"": 0.001}"
generation_regime,Davis,random_forest_tuned,42,full,0.9457990987223733,0.9496164213145345,0.9458483497502601,0.9457990987223733,0.9456658896498578,"{""n_estimators"": 300, ""max_depth"": null, ""min_samples_leaf"": 1}"
generation_regime,Davis,gradient_boosting_tuned,42,full,0.9444307436987729,0.9485797221646278,0.945212954830172,0.9444307436987729,0.9446848458227942,"{""n_estimators"": 200, ""learning_rate"": 0.05, ""max_depth"": 3}"
generation_regime,Davis,mlp_tuned,42,full,0.9474113376161656,0.9494090814845532,0.9460490901624379,0.9474113376161656,0.9467084754748404,"{""hidden_size"": 64, ""dropout"": 0.3, ""lr"": 0.001}"
generation_regime,Davis,random_forest_tuned,123,full,0.9450323192311029,0.9492017416545718,0.945648054112449,0.9450323192311029,0.9451410355439182,"{""n_estimators"": 300, ""max_depth"": null, ""min_samples_leaf"": 1}"
generation_regime,Davis,gradient_boosting_tuned,123,full,0.9444307436987729,0.9485797221646278,0.945212954830172,0.9444307436987729,0.9446848458227942,"{""n_estimators"": 200, ""learning_rate"": 0.05, ""max_depth"": 3}"
generation_regime,Davis,mlp_tuned,123,full,0.9464994213221329,0.9485797221646278,0.9436803428842216,0.9464994213221329,0.9450436762834786,"{""hidden_size"": 64, ""dropout"": 0.3, ""lr"": 0.001}"
generation_regime,Davis,random_forest_tuned,2026,full,0.9462274613134044,0.9502384408044785,0.9465790169460525,0.9462274613134044,0.9462610163601525,"{""n_estimators"": 300, ""max_depth"": null, ""min_samples_leaf"": 1}"
generation_regime,Davis,gradient_boosting_tuned,2026,full,0.9444307436987729,0.9485797221646278,0.945212954830172,0.9444307436987729,0.9446848458227942,"{""n_estimators"": 200, ""learning_rate"": 0.05, ""max_depth"": 3}"
generation_regime,Davis,mlp_tuned,2026,full,0.9440567401403034,0.9479577026746838,0.944717462042567,0.9440567401403034,0.9442836679269044,"{""hidden_size"": 64, ""dropout"": 0.3, ""lr"": 0.001}"
sky_condition,Amherst,random_forest_tuned,42,full,0.8063665784778916,0.8432835820895522,0.8206605060307922,0.8063665784778916,0.8033864364918216,"{""n_estimators"": 200, ""max_depth"": 10, ""min_samples_leaf"": 5}"
sky_condition,Amherst,gradient_boosting_tuned,42,full,0.8098758582421898,0.8470149253731343,0.8253919240233683,0.8098758582421898,0.8088742141789774,"{""n_estimators"": 200, ""learning_rate"": 0.05, ""max_depth"": 3}"
sky_condition,Amherst,mlp_tuned,42,full,0.8069102430660952,0.8449419568822554,0.8228122533843258,0.8069102430660952,0.8074911353051316,"{""hidden_size"": 64, ""dropout"": 0.3, ""lr"": 0.001}"
sky_condition,Amherst,random_forest_tuned,123,full,0.8092669568361845,0.845771144278607,0.8224931333997737,0.8092669568361845,0.8067507482311523,"{""n_estimators"": 200, ""max_depth"": 10, ""min_samples_leaf"": 5}"
sky_condition,Amherst,gradient_boosting_tuned,123,full,0.8098758582421898,0.8470149253731343,0.8253919240233683,0.8098758582421898,0.8088742141789774,"{""n_estimators"": 200, ""learning_rate"": 0.05, ""max_depth"": 3}"
sky_condition,Amherst,mlp_tuned,123,full,0.8184774048158051,0.8532338308457711,0.8320857569888919,0.8184774048158051,0.8164393466664727,"{""hidden_size"": 64, ""dropout"": 0.3, ""lr"": 0.001}"
